湘西州,109.745746,28.317951,14
益阳,112.366547,28.588088,13
永州,111.614648,26.435972,13
岳阳,113.146196,29.378007,13
张家界,110.48162,29.124889,13
株洲,113.131695,27.827433,13
南京,118.778074,32.057236,12
常州,119.981861,31.771397,12
淮安,119.030186,33.606513,12
连云港,119.173872,34.601549,12
南通,120.873801,32.014665,12
苏州,120.619907,31.317987,12
宿迁,118.296893,33.95205,13
泰州,119.919606,32.476053,13
无锡,120.305456,31.570037,12
徐州,117.188107,34.271553,12
盐城,120.148872,33.379862,12
扬州,119.427778,32.408505,13
镇江,119.455835,32.204409,13
南昌,115.893528,28.689578,12
抚州,116.360919,27.954545,13
赣州,114.935909,25.845296,13
吉安,114.992039,27.113848,13
景德镇,117.186523,29.303563,12
九江,115.999848,29.71964,13
萍乡,113.859917,27.639544,13
上饶,117.955464,28.457623,13
新余,114.947117,27.822322,13
宜春,114.400039,27.81113,13
鹰潭,117.03545,28.24131,13
长春,125.313642,43.898338,12
白城,122.840777,45.621086,13
白山,126.435798,41.945859,13
吉林市,126.564544,43.871988,12
辽源,125.133686,42.923303,13
四平,124.391382,43.175525,12
松原,124.832995,45.136049,13
通化,125.94265,41.736397,13
延边,129.485902,42.896414,13
沈阳,123.432791,41.808645,12
鞍山,123.007763,41.118744,13
本溪,123.778062,41.325838,12
朝阳,120.446163,41.571828,13
大连,121.593478,38.94871,12
丹东,124.338543,40.129023,12
抚顺,123.92982,41.877304,12
阜新,121.660822,42.01925,14
葫芦岛,120.860758,40.74303,13
锦州,121.147749,41.130879,13
辽阳,123.172451,41.273339,14
盘锦,122.073228,41.141248,13
铁岭,123.85485,42.299757,13
营口,122.233391,40.668651,13
呼和浩特,111.660351,40.828319,12
阿拉善盟,105.695683,38.843075,14
包头,109.846239,40.647119,12
巴彦淖尔,107.423807,40.76918,12
赤峰,118.930761,42.297112,12
鄂尔多斯,109.993706,39.81649,12
呼伦贝尔,119.760822,49.201636,12
通辽,122.260363,43.633756,12
乌海,106.831999,39.683177,13
乌兰察布,113.112846,41.022363,12
锡林郭勒盟,116.02734,43.939705,11
兴安盟,122.048167,46.083757,11
银川,106.206479,38.502621,12
固原,106.285268,36.021523,13
石嘴山,106.379337,39.020223,13
吴忠,106.208254,37.993561,14
中卫,105.196754,37.521124,14
西宁,101.767921,36.640739,12
果洛州,100.223723,34.480485,11
海东地区,102.085207,36.51761,11
海北州,100.879802,36.960654,11
海南州,100.624066,36.284364,11
海西州,97.342625,37.373799,11
黄南州,102.0076,35.522852,11
玉树州,97.013316,33.00624,14
济南,117.024967,36.682785,12
滨州,117.968292,37.405314,12
东营,118.583926,37.487121,12
德州,116.328161,37.460826,12
菏泽,115.46336,35.26244,13
济宁,116.600798,35.402122,13
莱芜,117.684667,36.233654,13
聊城,115.986869,36.455829,12
临沂,118.340768,35.072409,12
青岛,120.384428,36.105215,12
日照,119.50718,35.420225,12
泰安,117.089415,36.188078,13
威海,122.093958,37.528787,13
潍坊,119.142634,36.716115,12
烟台,121.309555,37.536562,12
枣庄,117.279305,34.807883,13
淄博,118.059134,36.804685,12
太原,112.550864,37.890277,12
长治,113.120292,36.201664,12
大同,113.290509,40.113744,12
晋城,112.867333,35.499834,13
晋中,112.738514,37.693362,13
临汾,111.538788,36.099745,13
吕梁,111.143157,37.527316,14
朔州,112.479928,39.337672,13
忻州,112.727939,38.461031,12
阳泉,113.569238,37.869529,13
运城,111.006854,35.038859,13
西安,108.953098,34.2778,12
安康,109.038045,32.70437,13
宝鸡,107.170645,34.364081,12
汉中,107.045478,33.081569,13
商洛,109.934208,33.873907,13
铜川,108.968067,34.908368,13
渭南,109.483933,34.502358,13
